timestamp,server_id,cpu_usage_pct,memory_usage_pct,active_connections,requests_per_sec,network_latency_ms,disk_io_mb_s,bandwidth_mbps,error_rate_pct,response_time_ms,load_status
2026-06-23 09:00:00,srv-3,67.4,52.32,714,300.13,13.19,13.64,159.61,0.138,209.73,Medium
2026-06-23 09:00:00,srv-4,74.27,68.06,429,194.77,32.86,12.24,75.86,0.478,285.12,High
2026-06-23 09:00:00,srv-5,67.14,57.96,556,256.99,13.74,10.96,163.43,0.18,211.77,Medium
2026-06-23 09:00:00,srv-1,66.8,61.73,563,232.4,13.63,6.6,106.04,0.169,221.39,Medium
2026-06-23 09:00:00,srv-2,67.34,69.46,591,246.32,21.57,13.19,165.73,0.162,243.23,Medium
2026-06-23 09:15:00,srv-2,74.72,65.32,607,253.28,24.16,5.92,168.64,0.413,255.7,Medium
2026-06-23 09:15:00,srv-3,55.19,62.46,730,306.55,12.33,18.94,167.36,0.017,195.44,Medium
2026-06-23 09:15:00,srv-1,75.44,58.76,679,283.97,19.07,10.51,134.53,0.838,245.61,High
2026-06-23 09:15:00,srv-4,79.63,71.5,419,188.06,35.0,11.11,70.59,1.248,303.11,High
2026-06-23 09:15:00,srv-5,72.89,58.76,689,321.61,15.6,11.21,190.54,0.196,227.63,Medium
2026-06-23 09:30:00,srv-4,88.47,74.28,438,198.56,46.54,3.83,82.19,0.572,353.77,High
2026-06-23 09:30:00,srv-1,70.54,70.5,780,324.22,20.39,16.36,136.41,0.124,245.88,Medium
2026-06-23 09:30:00,srv-2,76.12,63.83,539,225.45,26.82,9.06,148.63,0.948,267.2,High
2026-06-23 09:30:00,srv-3,65.48,49.12,688,289.37,10.2,12.06,157.05,0.084,195.06,Medium
2026-06-23 09:30:00,srv-5,62.98,67.13,665,306.51,12.3,16.15,191.23,0.085,210.82,Medium
2026-06-23 09:45:00,srv-3,58.79,60.41,821,341.84,9.1,18.71,187.67,0.099,191.53,Medium
2026-06-23 09:45:00,srv-1,64.54,64.87,714,297.12,13.63,16.62,137.54,0.051,215.5,Medium
2026-06-23 09:45:00,srv-2,71.31,68.43,590,246.93,22.35,10.09,156.69,0.42,251.18,Medium
2026-06-23 09:45:00,srv-5,67.45,58.53,633,296.14,14.33,14.87,180.69,0.178,214.04,Medium
2026-06-23 09:45:00,srv-4,87.57,78.47,452,210.52,47.3,9.55,85.03,2.793,353.66,High
2026-06-23 10:00:00,srv-3,61.01,63.67,809,343.83,12.27,10.82,171.8,0.056,210.64,Medium
2026-06-23 10:00:00,srv-5,71.62,64.5,721,333.45,18.65,14.17,204.71,0.151,239.72,Medium
2026-06-23 10:00:00,srv-1,74.93,64.72,719,300.1,18.46,11.38,136.6,0.294,247.81,Medium
2026-06-23 10:00:00,srv-4,75.43,76.29,485,221.12,37.76,6.22,95.96,0.884,300.91,High
2026-06-23 10:00:00,srv-2,73.26,73.57,654,272.86,26.29,7.9,187.05,0.022,266.65,Medium
2026-06-23 10:15:00,srv-5,68.43,62.12,684,319.85,15.97,15.75,199.43,0.308,231.28,Medium
2026-06-23 10:15:00,srv-1,73.48,67.53,744,306.69,17.71,8.05,136.63,0.349,248.16,Medium
2026-06-23 10:15:00,srv-3,99.5,89.74,1840,771.74,49.1,30.3,408.48,2.68,439.11,High
2026-06-23 10:15:00,srv-4,80.29,74.89,450,203.21,37.24,8.57,83.71,0.613,308.51,High
2026-06-23 10:15:00,srv-2,79.12,73.82,638,268.46,28.14,10.99,176.05,1.208,288.0,High
2026-06-23 10:30:00,srv-4,87.25,80.26,516,233.97,45.59,12.23,103.65,1.051,361.84,High
2026-06-23 10:30:00,srv-5,99.5,91.19,1533,713.39,51.88,30.49,440.39,5.841,438.7,High
2026-06-23 10:30:00,srv-1,69.02,63.98,740,310.33,15.5,10.75,140.87,0.215,228.64,Medium
2026-06-23 10:30:00,srv-3,74.42,58.22,857,355.84,14.51,8.51,190.35,0.535,231.14,Medium
2026-06-23 10:30:00,srv-2,71.06,75.07,620,260.31,22.32,11.46,170.67,0.345,254.76,Medium
2026-06-23 10:45:00,srv-5,73.48,63.4,728,339.53,16.06,12.01,212.02,0.27,234.6,Medium
2026-06-23 10:45:00,srv-4,94.45,84.01,532,238.87,55.93,11.67,107.71,0.948,407.59,High
2026-06-23 10:45:00,srv-3,69.68,65.0,936,391.13,11.52,17.73,216.07,0.189,220.83,Medium
2026-06-23 10:45:00,srv-1,69.68,60.03,778,322.41,16.34,19.06,146.35,0.223,236.9,Medium
2026-06-23 10:45:00,srv-2,77.39,68.52,612,253.15,26.69,12.37,173.55,0.284,278.42,Medium
2026-06-23 11:00:00,srv-5,65.51,61.39,667,314.82,12.25,10.42,194.46,0.161,214.03,Medium
2026-06-23 11:00:00,srv-1,66.54,66.47,719,299.53,16.29,10.35,138.39,0.178,227.66,Medium
2026-06-23 11:00:00,srv-3,64.24,62.03,845,355.08,11.5,11.79,183.08,0.14,206.5,Medium
2026-06-23 11:00:00,srv-4,88.48,79.11,492,222.92,46.82,13.2,92.87,0.956,361.2,High
2026-06-23 11:00:00,srv-2,74.77,69.25,656,272.62,26.79,11.04,174.99,0.674,275.0,High
2026-06-23 11:15:00,srv-2,81.51,69.13,696,286.46,35.71,9.06,188.31,0.589,311.55,High
2026-06-23 11:15:00,srv-3,64.64,64.15,912,384.14,11.29,17.85,210.13,0.085,212.65,Medium
2026-06-23 11:15:00,srv-5,71.55,65.63,722,338.29,17.7,14.13,209.78,0.182,236.25,Medium
2026-06-23 11:15:00,srv-1,71.74,68.34,801,332.02,16.65,13.57,146.83,0.56,241.45,Medium
2026-06-23 11:15:00,srv-4,80.46,81.02,548,244.47,35.67,5.68,102.12,1.016,308.08,High
2026-06-23 11:30:00,srv-3,67.24,59.69,821,341.75,14.16,13.0,183.72,0.16,217.18,Medium
2026-06-23 11:30:00,srv-2,71.13,66.28,648,270.37,21.89,16.98,178.8,0.131,248.1,Medium
2026-06-23 11:30:00,srv-1,73.47,65.49,781,325.09,19.94,17.78,152.04,0.481,257.15,Medium
2026-06-23 11:30:00,srv-4,80.68,71.63,489,223.96,36.56,5.91,91.0,0.024,306.38,Medium
2026-06-23 11:30:00,srv-5,68.14,66.57,711,332.47,14.84,14.33,202.4,0.048,236.3,Medium
2026-06-23 11:45:00,srv-2,81.27,70.28,625,261.21,30.6,13.28,170.76,0.331,296.89,High
2026-06-23 11:45:00,srv-5,70.11,66.52,728,339.04,14.44,13.14,204.31,0.373,233.79,Medium
2026-06-23 11:45:00,srv-1,69.51,68.1,757,312.45,15.79,11.79,151.44,0.219,235.48,Medium
2026-06-23 11:45:00,srv-4,93.78,76.57,560,252.78,54.95,14.48,95.52,0.124,394.1,High
2026-06-23 11:45:00,srv-3,64.39,64.53,870,363.93,9.55,21.18,197.75,0.125,212.31,Medium
2026-06-23 12:00:00,srv-2,76.62,68.24,614,256.4,27.36,12.79,170.13,0.551,273.44,High
2026-06-23 12:00:00,srv-5,70.53,55.19,642,299.34,20.89,8.39,184.06,0.269,232.14,Medium
2026-06-23 12:00:00,srv-4,86.85,72.63,504,230.83,43.67,13.66,86.72,2.763,341.02,High
2026-06-23 12:00:00,srv-3,64.76,64.78,839,351.67,13.62,20.13,190.19,0.018,213.73,Medium
2026-06-23 12:00:00,srv-1,68.96,67.88,732,305.98,14.83,12.49,143.02,0.164,228.03,Medium
2026-06-23 12:15:00,srv-5,70.64,64.75,670,316.61,18.24,13.13,183.08,0.079,234.37,Medium
2026-06-23 12:15:00,srv-3,65.34,61.78,880,367.65,14.08,8.37,198.88,0.107,215.38,Medium
2026-06-23 12:15:00,srv-4,77.94,70.03,385,172.69,33.94,7.51,75.33,0.399,289.78,High
2026-06-23 12:15:00,srv-2,78.51,72.81,625,261.0,31.08,13.64,168.88,0.185,292.33,High
2026-06-23 12:15:00,srv-1,71.85,59.72,701,288.96,17.66,14.85,137.78,0.292,233.88,Medium
2026-06-23 12:30:00,srv-1,63.57,64.5,744,308.95,14.85,17.68,148.46,0.057,215.19,Medium
2026-06-23 12:30:00,srv-5,65.14,64.48,663,310.92,13.89,14.04,192.41,0.159,218.82,Medium
2026-06-23 12:30:00,srv-3,68.08,65.51,840,351.12,11.81,16.3,189.91,0.101,222.73,Medium
2026-06-23 12:30:00,srv-2,78.88,64.4,629,263.27,28.27,11.25,172.94,1.073,277.66,High
2026-06-23 12:30:00,srv-4,91.66,75.46,498,227.59,57.15,9.23,100.22,3.241,390.37,High
2026-06-23 12:45:00,srv-4,77.71,70.41,407,188.7,32.85,11.37,74.53,0.868,288.38,High
2026-06-23 12:45:00,srv-5,71.1,63.39,705,325.55,15.0,18.29,203.62,0.197,232.97,Medium
2026-06-23 12:45:00,srv-3,65.58,58.28,744,311.3,9.94,11.01,173.99,0.105,207.12,Medium
2026-06-23 12:45:00,srv-1,66.91,56.73,655,274.74,14.83,10.21,133.34,0.089,215.83,Medium
2026-06-23 12:45:00,srv-2,67.9,68.29,598,248.59,19.79,13.72,164.28,0.327,239.99,Medium
2026-06-23 13:00:00,srv-2,74.77,62.79,561,233.49,24.37,9.69,160.52,0.369,267.0,Medium
2026-06-23 13:00:00,srv-3,60.31,58.39,778,328.63,14.87,15.83,178.02,0.001,206.95,Medium
2026-06-23 13:00:00,srv-4,83.15,70.32,428,197.4,39.12,9.68,79.36,0.931,315.97,High
2026-06-23 13:00:00,srv-5,70.8,63.01,635,296.91,14.65,11.51,184.84,0.1,229.42,Medium
2026-06-23 13:00:00,srv-1,59.12,61.09,673,278.22,12.12,15.38,138.12,0.029,200.77,Medium
2026-06-23 13:15:00,srv-5,60.52,62.41,571,269.28,16.61,7.57,161.77,0.046,221.22,Medium
2026-06-23 13:15:00,srv-3,58.74,61.74,705,297.1,9.15,8.59,165.87,0.02,192.71,Medium
2026-06-23 13:15:00,srv-4,86.11,69.97,420,191.35,43.8,9.76,76.96,1.971,350.41,High
2026-06-23 13:15:00,srv-1,64.83,59.17,643,267.61,12.95,9.84,121.36,0.061,209.38,Medium
2026-06-23 13:15:00,srv-2,63.57,61.78,516,216.08,19.92,9.01,150.5,0.004,222.01,Medium
2026-06-23 13:30:00,srv-3,58.54,61.79,719,299.56,10.79,17.04,159.92,0.087,196.0,Medium
2026-06-23 13:30:00,srv-5,62.72,59.24,580,267.85,12.36,11.95,153.73,0.089,214.83,Medium
2026-06-23 13:30:00,srv-2,65.33,67.09,548,225.76,19.79,11.31,149.44,0.211,234.69,Medium
2026-06-23 13:30:00,srv-1,56.68,61.8,604,254.46,12.67,8.05,114.18,0.007,200.08,Medium
2026-06-23 13:30:00,srv-4,77.87,64.71,408,181.26,33.64,4.7,70.23,0.081,288.2,Medium
2026-06-23 13:45:00,srv-1,69.33,58.2,598,247.75,14.84,11.94,118.58,0.204,217.92,Medium
2026-06-23 13:45:00,srv-5,66.29,55.35,546,255.2,15.21,10.79,159.49,0.167,218.94,Medium
2026-06-23 13:45:00,srv-3,60.7,54.72,679,283.08,10.37,15.1,158.79,0.002,197.04,Medium
2026-06-23 13:45:00,srv-2,99.5,97.53,1277,528.13,57.42,26.56,353.61,2.936,452.35,High
2026-06-23 13:45:00,srv-4,71.47,69.45,382,171.63,30.54,10.58,81.46,0.464,275.48,High
2026-06-23 14:00:00,srv-1,54.93,55.5,527,216.92,14.24,5.69,103.94,0.003,205.97,Medium
2026-06-23 14:00:00,srv-5,61.61,62.8,561,259.59,16.68,8.78,154.96,0.005,214.55,Medium
2026-06-23 14:00:00,srv-2,72.05,61.36,468,192.47,21.71,13.1,123.05,0.259,242.9,Medium
2026-06-23 14:00:00,srv-4,70.68,68.82,345,155.39,28.57,6.06,61.79,0.388,270.25,Medium
2026-06-23 14:00:00,srv-3,62.0,52.92,641,267.45,12.7,7.0,143.56,0.009,204.78,Medium
2026-06-23 14:15:00,srv-1,51.83,46.03,508,208.22,12.04,10.11,100.25,0.195,175.45,Medium
2026-06-23 14:15:00,srv-5,55.16,62.22,502,235.7,12.35,8.46,137.84,0.236,196.32,Medium
2026-06-23 14:15:00,srv-2,72.3,57.53,454,188.01,24.11,9.4,135.0,0.504,249.95,Medium
2026-06-23 14:15:00,srv-3,56.79,58.44,565,237.56,10.4,9.56,127.44,0.082,196.96,Medium
2026-06-23 14:15:00,srv-4,67.8,66.16,349,158.16,28.56,2.31,70.41,0.111,257.34,Medium
2026-06-23 14:30:00,srv-4,65.37,69.33,383,176.05,29.51,4.66,60.83,0.064,256.95,Medium
2026-06-23 14:30:00,srv-1,59.39,59.0,522,217.45,14.82,18.85,110.09,0.006,205.81,Medium
2026-06-23 14:30:00,srv-3,48.76,54.17,628,261.28,10.27,11.32,132.52,0.018,173.57,Medium
2026-06-23 14:30:00,srv-5,63.57,60.01,513,241.04,13.44,13.11,152.29,0.018,210.28,Medium
2026-06-23 14:30:00,srv-2,64.95,67.31,470,194.32,28.46,9.81,126.67,0.036,252.31,Medium
2026-06-23 14:45:00,srv-5,60.72,60.17,531,249.88,11.19,9.09,146.18,0.102,200.29,Medium
2026-06-23 14:45:00,srv-4,65.1,64.83,307,141.21,27.8,4.13,63.9,0.122,246.99,Medium
2026-06-23 14:45:00,srv-3,78.09,68.8,1096,459.74,21.43,21.42,244.29,0.995,262.42,High
2026-06-23 14:45:00,srv-2,99.5,93.37,1212,501.11,62.04,22.23,329.66,2.146,456.14,High
2026-06-23 14:45:00,srv-1,66.89,56.38,517,214.43,13.8,12.42,99.3,0.059,220.93,Medium
2026-06-23 15:00:00,srv-1,62.66,56.71,551,228.79,12.92,8.71,108.02,0.137,207.16,Medium
2026-06-23 15:00:00,srv-5,61.43,55.01,476,221.56,13.17,8.59,134.76,0.118,205.56,Medium
2026-06-23 15:00:00,srv-3,49.17,51.11,532,220.14,15.65,9.37,115.63,0.024,185.5,Medium
2026-06-23 15:00:00,srv-4,72.71,66.24,321,146.72,29.14,10.7,70.53,0.522,272.04,High
2026-06-23 15:00:00,srv-2,67.38,61.17,456,188.48,21.66,10.91,126.72,0.17,236.74,Medium
2026-06-23 15:15:00,srv-4,71.43,68.47,345,157.8,31.44,4.39,66.27,0.544,270.63,High
2026-06-23 15:15:00,srv-5,57.93,56.16,425,193.64,11.48,5.11,127.42,0.012,190.85,Medium
2026-06-23 15:15:00,srv-3,54.46,58.27,575,242.23,10.59,13.09,122.05,0.08,187.3,Medium
2026-06-23 15:15:00,srv-1,52.01,51.88,539,220.91,13.5,12.14,97.34,0.033,183.35,Medium
2026-06-23 15:15:00,srv-2,64.21,59.57,444,186.04,22.13,11.58,126.71,0.045,240.13,Medium
2026-06-23 15:30:00,srv-4,72.66,66.17,308,141.28,29.48,6.9,61.5,0.286,264.42,Medium
2026-06-23 15:30:00,srv-5,59.41,47.07,452,211.77,13.22,8.89,126.29,0.075,198.73,Medium
2026-06-23 15:30:00,srv-2,61.15,60.74,446,184.89,18.62,6.95,120.83,0.007,236.47,Medium
2026-06-23 15:30:00,srv-1,53.55,56.89,481,201.42,12.49,5.91,103.9,0.007,188.5,Medium
2026-06-23 15:30:00,srv-3,56.01,58.89,538,226.16,10.21,9.51,118.08,0.015,188.55,Medium
2026-06-23 15:45:00,srv-5,56.74,57.73,485,225.85,11.21,7.35,132.92,0.032,197.89,Medium
2026-06-23 15:45:00,srv-1,60.4,63.24,534,222.7,16.32,7.52,101.39,0.025,219.73,Medium
2026-06-23 15:45:00,srv-4,71.71,70.46,325,149.51,30.44,0.11,66.18,0.227,267.73,Medium
2026-06-23 15:45:00,srv-2,56.73,55.04,373,154.11,19.95,10.61,91.39,0.013,208.65,Medium
2026-06-23 15:45:00,srv-3,53.4,51.34,509,213.33,12.56,10.85,118.88,0.003,183.31,Medium
2026-06-23 16:00:00,srv-5,94.72,82.73,1173,542.31,42.5,20.05,334.49,1.152,375.87,High
2026-06-23 16:00:00,srv-2,67.47,61.5,482,202.99,19.52,9.33,136.88,0.095,230.68,Medium
2026-06-23 16:00:00,srv-3,60.23,61.04,622,258.54,12.56,6.35,143.9,0.107,206.49,Medium
2026-06-23 16:00:00,srv-4,76.71,61.56,354,160.51,34.06,9.61,68.55,0.536,281.11,High
2026-06-23 16:00:00,srv-1,66.3,53.77,459,192.45,13.17,7.9,87.53,0.073,214.9,Medium
2026-06-23 16:15:00,srv-1,55.58,57.99,500,210.65,13.18,9.11,95.76,0.011,193.53,Medium
2026-06-23 16:15:00,srv-4,65.51,68.24,332,152.03,29.01,4.32,61.46,0.103,255.57,Medium
2026-06-23 16:15:00,srv-2,58.4,60.04,424,177.22,20.46,9.22,112.09,0.003,217.53,Medium
2026-06-23 16:15:00,srv-5,68.22,58.27,512,238.42,14.16,5.56,147.58,0.046,218.67,Medium
2026-06-23 16:15:00,srv-3,54.69,52.47,609,254.85,9.77,10.56,129.5,0.131,179.66,Medium
2026-06-23 16:30:00,srv-3,54.21,54.11,607,254.18,10.72,14.55,145.87,0.062,182.39,Medium
2026-06-23 16:30:00,srv-2,63.97,60.92,530,218.45,25.4,12.91,147.66,0.127,234.3,Medium
2026-06-23 16:30:00,srv-5,57.42,58.63,482,227.39,12.32,11.76,130.9,0.031,195.34,Medium
2026-06-23 16:30:00,srv-1,57.74,55.24,567,234.93,15.79,5.74,105.51,0.003,209.16,Medium
2026-06-23 16:30:00,srv-4,73.95,65.67,397,177.21,31.27,8.42,68.62,0.467,282.29,High
2026-06-23 16:45:00,srv-4,73.51,72.65,374,167.16,30.51,8.23,72.3,0.139,277.01,Medium
2026-06-23 16:45:00,srv-2,69.12,66.13,497,210.95,24.02,10.79,142.61,0.105,248.23,Medium
2026-06-23 16:45:00,srv-3,57.82,57.83,664,278.56,9.33,15.81,154.95,0.073,189.67,Medium
2026-06-23 16:45:00,srv-1,66.18,56.44,524,214.5,14.87,8.2,95.63,0.063,210.95,Medium
2026-06-23 16:45:00,srv-5,57.54,58.15,521,243.06,13.83,8.09,149.04,0.051,198.08,Medium
2026-06-23 17:00:00,srv-3,62.78,53.19,651,271.91,11.21,12.0,157.55,0.016,195.29,Medium
2026-06-23 17:00:00,srv-2,65.75,65.27,469,197.8,20.36,10.93,131.15,0.119,229.71,Medium
2026-06-23 17:00:00,srv-4,71.29,68.64,402,180.81,29.65,8.95,68.03,0.047,266.48,Medium
2026-06-23 17:00:00,srv-1,64.6,55.22,614,255.64,13.22,10.05,115.7,0.133,215.65,Medium
2026-06-23 17:00:00,srv-5,66.45,57.18,567,263.87,14.85,8.38,167.41,0.121,212.28,Medium
2026-06-23 17:15:00,srv-2,99.5,98.0,1285,535.4,60.12,21.41,356.92,2.522,455.25,High
2026-06-23 17:15:00,srv-4,84.46,72.16,422,190.08,41.53,8.72,81.28,1.888,328.96,High
2026-06-23 17:15:00,srv-1,72.55,65.87,733,306.45,17.03,16.75,135.01,0.268,241.16,Medium
2026-06-23 17:15:00,srv-5,64.56,66.17,583,274.32,13.97,10.85,174.92,0.06,221.36,Medium
2026-06-23 17:15:00,srv-3,63.55,59.47,728,305.06,12.91,12.22,170.62,0.073,210.79,Medium
2026-06-23 17:30:00,srv-3,64.84,58.81,781,328.67,10.0,18.29,187.33,0.092,201.21,Medium
2026-06-23 17:30:00,srv-2,68.27,65.01,516,214.18,25.47,13.68,138.52,0.195,251.66,Medium
2026-06-23 17:30:00,srv-4,70.06,71.25,409,188.98,30.98,13.37,72.33,0.261,266.23,Medium
2026-06-23 17:30:00,srv-5,60.28,64.42,562,263.21,13.0,13.45,159.81,0.034,208.05,Medium
2026-06-23 17:30:00,srv-1,64.33,63.09,694,287.83,14.92,7.84,129.29,0.091,224.82,Medium
2026-06-23 17:45:00,srv-1,68.84,60.57,722,298.51,21.2,8.3,147.9,0.101,239.86,Medium
2026-06-23 17:45:00,srv-3,70.98,56.71,870,363.75,12.79,14.45,198.95,0.3,218.58,Medium
2026-06-23 17:45:00,srv-4,88.53,79.89,525,232.63,45.8,10.24,89.73,1.51,359.64,High
2026-06-23 17:45:00,srv-2,74.67,61.32,661,278.05,23.87,13.12,189.89,0.491,252.18,Medium
2026-06-23 17:45:00,srv-5,62.55,68.97,638,299.36,15.86,13.74,185.72,0.114,220.43,Medium
2026-06-23 18:00:00,srv-1,73.74,61.2,699,290.68,21.19,12.7,138.21,0.458,245.52,Medium
2026-06-23 18:00:00,srv-5,81.28,62.75,716,328.9,24.04,14.18,204.04,1.468,277.47,High
